Id,Included,Reason
1,Yes,-
2,Yes,-
4,No,Focus on quality visualization instead of automatic assessment.
5,Yes,-
6,Yes,-
7,No,"No discussion of ML algorithms, features or metrics".
9,Yes,-
12,Yes,-
13,Yes,-
14,Yes,-
15,Yes,-
16,Yes,-
17,No,"Does not discuss article features or algorithms, focuses on disproving the theory 'different levels of, quality are evenly spaced from one another'".
18,No,Does not explain used features and used algorithms.
19,Yes,-
21,No,Manual measurement of quality (number of facts).
25,No,"Measures quality of edits, not the articles. Does not propose any metrics or algorithms, and validates it with human raters".
26,No,Uses the metrics to directly output the quality and not for ML.
28,Yes,-
29,Yes,-
33,Yes,-
36,No,"Little emphasis is given to predicting Wikipedia quality, more to evaluate correlation between a few criteria (e.g # of edits) and quality".
38,Yes,"Measures quality of edits/reviews, not Wikipedia articles, and does so with insufficient detail."
39,Yes,No emphasis on machine learning approaches.
41,Yes,No focus on ML and little detailing of experimentation and results.
42,No,"Measures quality of the contributions, not the articles, and does so without ML."
45,Yes,-
48,Yes,-
49,No,Uses volunteers to manually assess trustworthiness of articles
51,No,"Focus of the paper is on computing trust of edits, not articles. Does not mention features or ML."
52,Yes,-
53,No,"The study proposes metrics evaluating for user edits, not articles."
56,No,"Unrelated to our research goals, since its focused visualization of trustworthiness, not measurement."
57,No,Based on fact extraction and less on quality metrics.
63,No,Manual study of existing Wikipedia articles.
64,Yes,-
65,No,"Discusses subjective trustworthiness ideals, not quality measures."
68,No,The goal is to predict article controversy (e.g revert wars).
69,Yes,-
