Title,Title,Quality,CC,CW,CSN,CS,CMSL,CP,CMPL,CLSL,CSSL,CSTDSL,CLSSR,CB,CBPS,CNL,CNLTLR,CR,CCC,CCCPC,CCCPS,CEL,CELPS,CELPC,CIL,CILPC,CI,CIPC,CIPS,CL3,CIB,CCT,CNCT,SSLS,SSSS,SMSS,SLSR,SSSR,SQ,SQPS,SE,SEPS,SS,SMSPW,SMCPW,SSTP,SSTART,SSTC,SSTSUB,SSTI,SSTD,SSTADJ,SSTN,SSTADV,SSTPPS,SSTARTPS,SSTCPS,SSTSUBPS,SSTDPS,SSTADJPS,SSTNPS,SSTADVPS,SMV,STB,SUW,SN,SUN,SV,SUV,SP,SUP,SADV,SUADV,SADJ,SUADJ,SCC,SUCC,SSUB,SUSUB,SMVPW,STBPW,SUWPW,SNPW,SUNPW,SVPW,SUVPW,SPPW,SUPPW,SADVPW,SUADVPW,SADJPW,SUADJPW,SCCPW,SUCCPW,SSUBPW,SUSUBPW,STBPV,SUNPUW,SUVPUW,SUPPUW,SUADJPUW,SUADVPUW,SUCCPUW,SUSUBPUW,SWL6,RARI,RCL,RFRE,RFK,RGFI,RLBI,RSG,RDWS,RDC,RLWF,HA,HAPR,HRPD,HRPC,HRPCSD,HR,HC,HRC,HAC,HRCPC,HACPC,HRCPAC,HREV,HREVPR,HRML,HREC,HRECPR,HACT,HACTPR,HOCCPR,HSSLE,NT,Quality
"W. B. Yeats","W. B. Yeats","5","39157","6493","309","4","9775.0","62","631.5645161290323","31872","1173","14808.83337741363","27.171355498721226","9","2.25","1515","0.03869040018387517","75","87","0.002221824961054218","21.75","12","3.0","0.00030645861531782313","231","0.005899328344868095","11","0.0002809203973746712","2.75","0","0","38","104","78","4","23.644688644688646","0.1391941391941392","0.34798534798534797","0","0.0","0","0.0","10654","1.6505034856700231","4.870178156467855","62","38","2","74","0","50","4","1","9","0.2271062271062271","0.1391941391941392","0.007326007326007326","0.27106227106227104","0.18315018315018314","0.014652014652014652","0.003663003663003663","0.03296703296703297","31","179","2197","910","554","897","430","404","31","172","99","487","293","259","11","963","67","0.004802478698683191","0.027730441518202944","0.3403563129357087","0.1409759876065066","0.08582494190549961","0.13896204492641362","0.06661502711076685","0.06258714175058094","0.004802478698683191","0.02664601084430674","0.01533694810224632","0.07544539116963594","0.04539116963594113","0.04012393493415957","0.0017041053446940357","0.14918667699457785","0.010379550735863672","0.1995540691192865","0.25216203914428764","0.19572143832498862","0.014110150204824761","0.13336367774237598","0.045061447428311335","0.005006827492034593","0.030496131087847066","1632","13.330883439307918","11.584780790085205","43.203046137957074","13.107369702334847","16.770036573289868","48.92741521324015","15.0060414607271","3037","8.601781978929926","16.144688644688646","7484","1.6840684068406842","0.5938001068947087","2.169921875","11.595125299960669","4444","2048","1052","996","0.513671875","0.486328125","1.0562248995983936","436","0.09810981098109811","537","60","0.013501350135013501","1700","0.38253825382538253","0.5625562556255626","604800","97","5"
"Master Juba","Master Juba","5","41328","6887","336","6","6864.333333333333","64","645.75","12734","2565","4318.715441733418","4.964522417153996","4","0.6666666666666666","2565","0.062064459930313585","93","165","0.003992450638792102","27.5","6","1.0","0.00014518002322880372","104","0.002516453735965931","6","0.00014518002322880372","1.0","0","0","4","25","129","2","23.43003412969283","0.16040955631399317","0.41638225255972694","1","0.0034129692832764505","2","0.006825938566552901","11291","1.6447195921340132","4.817188638018937","45","59","3","32","0","74","10","10","21","0.15358361774744028","0.20136518771331058","0.010238907849829351","0.10921501706484642","0.2525597269624573","0.034129692832764506","0.034129692832764506","0.07167235494880546","50","190","2084","1110","607","990","483","334","25","250","113","604","299","270","6","973","57","0.007283321194464676","0.027676620538965767","0.3035688273852877","0.1616897305171158","0.08841951930080116","0.1442097596504006","0.07035688273852878","0.048652585579024035","0.003641660597232338","0.03641660597232338","0.016460305899490168","0.08798252002913329","0.04355426074289876","0.03932993445010925","0.0008739985433357611","0.1417334304442826","0.008302986161689731","0.1919191919191919","0.29126679462571975","0.2317658349328215","0.01199616122840691","0.14347408829174665","0.05422264875239923","0.0028790786948176585","0.027351247600767754","1655","12.973975549915608","11.261733430444284","43.91023786382428","12.95540449776156","15.909522756028629","47.53782728337091","14.30821835375382","2933","7.908243312643399","15.544368600682594","6489","12.6","0.07936507936507936","2.309417040358744","6.166478043456332","515","223","144","79","0.6457399103139013","0.3542600896860987","1.8227848101265822","48","0.09320388349514563","-12","8","0.015533980582524271","200","0.3883495145631068","0.5029126213592233","6048000","6","5"
"The Slave Community","The Slave Community","5","33747","5037","237","6","5599.666666666667","52","648.9807692307693","11640","1624","3861.2469833807145","7.167487684729064","5","0.8333333333333334","1624","0.04812279610039411","74","80","0.002370581088689365","13.333333333333334","3","0.5","8.889679082585119e-05","143","0.00423741369603224","3","8.889679082585119e-05","0.5","0","1","0","31","116","2","25.3248730964467","0.15736040609137056","0.38578680203045684","1","0.005076142131979695","0","0.0","9632","1.9306474243335339","5.533774303467629","32","14","0","33","0","15","11","9","11","0.16243654822335024","0.07106598984771574","0.0","0.16751269035532995","0.07614213197969544","0.05583756345177665","0.04568527918781726","0.05583756345177665","18","108","1608","662","331","671","371","165","22","157","79","449","232","210","5","741","47","0.0036079374624173183","0.02164762477450391","0.3223090799759471","0.13269192222890358","0.06634596111445179","0.13449589096011225","0.07436359991982361","0.03307276007215875","0.0044097013429545","0.03146923231108439","0.01583483664060934","0.08999799559029865","0.04650230507115655","0.04209260372820205","0.0010022048506714773","0.14852675886951291","0.009420725596311887","0.16095380029806258","0.2058457711442786","0.23072139303482586","0.013681592039800995","0.14427860696517414","0.049129353233830844","0.003109452736318408","0.029228855721393034","1774","17.29651351755588","15.569781519342555","17.79748170848967","17.068340114749912","21.074026207911217","60.883101198270715","18.166686841654634","2544","9.307779370045573","19.591370558375633","5365","20.477099236641223","0.04883504193849021","1.832167832167832","3.1015353171851316","262","143","105","38","0.7342657342657343","0.26573426573426573","2.763157894736842","28","0.10687022900763359","80","5","0.019083969465648856","77","0.29389312977099236","0.6297709923664122","345600","3","5"
"Monroe Doctrine Centennial half dollar","Monroe Doctrine Centennial half dollar","5","14617","2413","120","6","2419.0","24","609.0416666666666","3194","1491","595.4655321678997","2.142186452045607","0","0.0","1491","0.10200451529041527","0","0","0.0","0.0","0","0.0","0.0","84","0.005746733255798044","5","0.0003420674557022645","0.8333333333333334","0","1","13","67","54","5","25.157894736842106","0.2","0.4","0","0.0","0","0.0","4023","1.6832635983263597","4.91255230125523","8","23","0","18","0","29","3","3","7","0.08421052631578947","0.24210526315789474","0.0","0.18947368421052632","0.30526315789473685","0.031578947368421054","0.031578947368421054","0.07368421052631578","19","90","960","328","201","368","209","63","17","65","43","161","112","60","3","344","42","0.007949790794979079","0.03765690376569038","0.401673640167364","0.13723849372384936","0.08410041841004184","0.15397489539748954","0.08744769874476988","0.026359832635983262","0.007112970711297071","0.027196652719665274","0.01799163179916318","0.06736401673640167","0.04686192468619247","0.02510460251046025","0.0012552301255230125","0.14393305439330545","0.017573221757322177","0.24456521739130435","0.209375","0.21770833333333334","0.017708333333333333","0.11666666666666667","0.04479166666666667","0.003125","0.04375","632","14.28706870733319","11.909238493723848","38.89563642369524","14.08408940761947","17.59453864787492","51.60140938119357","15.562485235769564","1110","8.581262541290466","17.31578947368421","3355","23.137931034482758","0.043219076005961254","2.9591836734693877","9.582882272733045","145","49","40","9","0.8163265306122449","0.1836734693877551","4.444444444444445","6","0.041379310344827586","0","0","0.0","75","0.5172413793103449","0.3724137931034483","40003200","1","5"
"Royal Naval Division War Memorial","Royal Naval Division War Memorial","5","17476","2826","113","5","3483.2","27","647.2592592592592","6004","2339","1523.5037577899175","2.566908935442497","2","0.4","2339","0.13384069581139849","24","47","0.0026894026092927443","9.4","0","0.0","0.0","122","0.006981002517738613","4","0.00022888532845044633","0.8","0","2","14","24","62","4","26.876190476190477","0.20952380952380953","0.37142857142857144","0","0.0","1","0.009523809523809525","4770","1.6902905740609497","5.031892274982282","14","35","0","18","0","38","2","3","7","0.13333333333333333","0.3333333333333333","0.0","0.17142857142857143","0.3619047619047619","0.01904761904761905","0.02857142857142857","0.06666666666666667","7","82","991","442","210","350","192","66","15","69","50","184","113","75","5","420","48","0.0024805102763997165","0.029057406094968107","0.351169383416017","0.1566265060240964","0.0744153082919915","0.12402551381998582","0.06803685329553508","0.023387668320340185","0.005315379163713678","0.02445074415308292","0.01771793054571226","0.06520198440822111","0.04004252303330971","0.02657689581856839","0.001771793054571226","0.148830616583983","0.01700921332388377","0.2342857142857143","0.2119071644803229","0.19374369323915236","0.015136226034308779","0.11402623612512613","0.050454086781029264","0.005045408678102927","0.04843592330978809","826","15.708307853261786","12.686180014174344","36.55708410111032","14.837143059633494","18.95742161925011","56.146211737707134","16.54406574725407","1408","9.21127308022004","18.952380952380953","2774","10.507575757575758","0.09516943042537851","8.0","27.818608879669018","264","33","30","3","0.9090909090909091","0.09090909090909091","10.0","1","0.003787878787878788","0","1","0.003787878787878788","160","0.6060606060606061","0.1590909090909091","9676800","0","5"
"USS Breese","USS Breese","4","7986","1370","78","3","2644.6666666666665","15","532.4","5588","746","2584.518781772215","7.490616621983914","2","0.6666666666666666","746","0.09341347357876284","1","1","0.00012521913348359628","0.3333333333333333","1","0.3333333333333333","0.00012521913348359628","93","0.011645379413974455","1","0.00012521913348359628","0.3333333333333333","0","5","6","66","45","6","20.29850746268657","0.13432835820895522","0.3283582089552239","0","0.0","0","0.0","2159","1.5875","4.686029411764705","28","2","0","18","0","3","2","0","0","0.417910447761194","0.029850746268656716","0.0","0.26865671641791045","0.04477611940298507","0.029850746268656716","0.0","0.0","0","41","551","139","98","183","103","65","6","25","16","41","33","51","3","223","34","0.0","0.030147058823529412","0.4051470588235294","0.10220588235294117","0.07205882352941176","0.13455882352941176","0.07573529411764705","0.04779411764705882","0.004411764705882353","0.01838235294117647","0.011764705882352941","0.030147058823529412","0.02426470588235294","0.0375","0.0022058823529411764","0.16397058823529412","0.025","0.22404371584699453","0.17785843920145192","0.1869328493647913","0.010889292196007259","0.05989110707803993","0.029038112522686024","0.0054446460980036296","0.06170598911070781","309","10.790452260755046","10.295617647058823","51.92951492537313","11.058917910447764","14.266461808604038","43.01909569798069","13.218856317043212","743","9.63325449956102","13.26865671641791","6397","58.154545454545456","0.01719556041894638","1.9642857142857142","4.709619887052402","110","56","53","3","0.9464285714285714","0.05357142857142857","17.666666666666668","0","0.0","0","0","0.0","42","0.38181818181818183","0.6181818181818182","17539200","3","4"
"Ricki-Lee Coulter","Ricki-Lee Coulter","4","27084","4499","227","9","2991.222222222222","41","660.5853658536586","12897","29","3987.1307282862504","444.7241379310345","9","1.0","2386","0.0880962930143258","172","321","0.011852015950376606","35.666666666666664","0","0.0","0.0","286","0.01055974006793679","4","0.0001476886722788362","0.4444444444444444","0","2","172","52","69","2","19.923766816143498","0.13004484304932734","0.2645739910313901","0","0.0","0","0.0","7060","1.5890164303398604","4.801710555930677","49","28","1","48","0","33","4","13","9","0.21973094170403587","0.12556053811659193","0.004484304932735426","0.21524663677130046","0.14798206278026907","0.017937219730941704","0.05829596412556054","0.04035874439461883","19","135","1333","601","257","681","277","252","25","129","55","309","134","185","4","575","45","0.0042763898266936756","0.03038487508440243","0.30002250731487734","0.13526896241278416","0.057843799234751296","0.15327481431465226","0.06234526221021832","0.05671843349088454","0.005626828719333784","0.02903443619176232","0.012379023182534324","0.06954760297096556","0.03015980193562908","0.041638532523069996","0.0009002925950934053","0.12941706054467703","0.01012829169480081","0.19823788546255505","0.19279819954988747","0.2078019504876219","0.018754688672168042","0.1005251312828207","0.04126031507876969","0.003000750187546887","0.03375843960990248","1061","11.14794012650524","10.948395228449243","52.18158667486216","10.930662936306316","14.190528558552831","43.804027900996076","13.185245025817252","2328","9.261709718618192","13.060538116591928","6352","3.0247619047619048","0.3306045340050378","2.880658436213992","22.72599014646655","2100","729","303","426","0.4156378600823045","0.5843621399176955","0.7112676056338029","89","0.04238095238095238","649","9","0.004285714285714286","1037","0.4938095238095238","0.3995238095238095","4233600","5","4"
"Archie Amerson","Archie Amerson","4","18245","2997","153","5","3629.8","39","467.8205128205128","13661","674","5616.080724134938","20.26854599406528","5","1.0","1173","0.06429158673609207","108","127","0.0069608111811455195","25.4","0","0.0","0.0","100","0.005480953685941353","0","0.0","0.0","8","1","108","23","49","7","20.04794520547945","0.0958904109589041","0.3013698630136986","0","0.0","0","0.0","4706","1.6077895456098394","4.968910146908097","22","21","0","54","0","23","1","0","5","0.1506849315068493","0.14383561643835616","0.0","0.3698630136986301","0.15753424657534246","0.00684931506849315","0.0","0.03424657534246575","1","51","802","420","159","403","179","98","10","85","43","175","99","71","4","448","42","0.00034164673727365904","0.01742398360095661","0.27400068329347455","0.1434916296549368","0.05432183122651179","0.1376836351212846","0.061154765971984965","0.033481380252818584","0.0034164673727365906","0.029039972668261017","0.014690809702767338","0.05978817902289033","0.03382302699009224","0.02425691834642979","0.0013665869490946361","0.15305773829859926","0.01434916296549368","0.12655086848635236","0.19825436408977556","0.2231920199501247","0.012468827930174564","0.12344139650872818","0.05361596009975062","0.004987531172069825","0.05236907730673317","850","11.997539394676863","11.940731124017766","50.46734005784597","11.200615268333092","14.592461307336983","49.087917873740466","13.498199599620467","1394","8.514453244473982","13.318493150684931","5349","37.93617021276596","0.026360067302299495","2.877551020408163","8.569890735061","141","49","42","7","0.8571428571428571","0.14285714285714285","6.0","2","0.014184397163120567","16","4","0.028368794326241134","69","0.48936170212765956","0.45390070921985815","3283200","1","4"
"Ng On-yee","Ng On-yee","4","22019","3791","168","6","3650.5","55","400.3454545454546","18588","19","7336.3373082213175","978.3157894736842","15","2.5","1286","0.05840410554521096","177","235","0.010672600935555656","39.166666666666664","3","0.5","0.0001362459693900722","257","0.011671738044416185","1","4.541532313002407e-05","0.16666666666666666","0","2","173","47","58","5","22.101796407185628","0.1437125748502994","0.3473053892215569","0","0.0","0","0.0","5618","1.5220807369276619","4.6621511785424","42","6","0","53","0","6","0","6","1","0.25149700598802394","0.03592814371257485","0.0","0.31736526946107785","0.03592814371257485","0.0","0.03592814371257485","0.005988023952095809","3","66","857","380","137","478","161","129","9","60","26","258","91","95","4","475","36","0.000812787862367922","0.017881332972094283","0.2321863993497697","0.10295312923327012","0.03711731238146844","0.12950419940395558","0.04361961528041181","0.034949878081820644","0.002438363587103766","0.01625575724735844","0.007044161473855324","0.06989975616364129","0.024654565158493635","0.02573828230831753","0.001083717149823896","0.12869141154158764","0.009753454348415064","0.13807531380753138","0.15985997666277713","0.18786464410735124","0.010501750291715286","0.10618436406067679","0.030338389731621937","0.004667444574095682","0.042007001166861145","781","11.579630254527515","10.274191276076941","55.6336463026264","10.990253294548808","14.107583911018388","43.261373757497196","12.874615910370341","1852","9.019055929214453","13.961077844311378","4173","8.916666666666666","0.11214953271028037","6.324324324324325","26.33717519937197","468","74","54","20","0.7297297297297297","0.2702702702702703","2.7","3","0.00641025641025641","5924","23","0.049145299145299144","320","0.6837606837606838","0.19230769230769232","518400","8","4"
"Macuahuitl","Macuahuitl","4","9921","1650","78","7","1397.7142857142858","25","396.84","3477","302","1086.404270101714","11.513245033112582","2","0.2857142857142857","947","0.09545408728958775","26","31","0.0031246850115915735","4.428571428571429","2","0.2857142857142857","0.00020159258139300473","87","0.008769277290595706","5","0.0005039814534825119","0.7142857142857143","0","1","25","38","97","5","23.897058823529413","0.16176470588235295","0.4264705882352941","0","0.0","0","0.0","2673","1.644923076923077","4.872615384615385","8","17","1","8","0","22","8","2","2","0.11764705882352941","0.25","0.014705882352941176","0.11764705882352941","0.3235294117647059","0.11764705882352941","0.029411764705882353","0.029411764705882353","5","61","689","261","153","236","132","56","16","60","36","168","97","60","5","233","39","0.003076923076923077","0.03753846153846154","0.424","0.1606153846153846","0.09415384615384616","0.14523076923076922","0.08123076923076923","0.03446153846153846","0.009846153846153846","0.036923076923076927","0.022153846153846152","0.10338461538461538","0.05969230769230769","0.036923076923076927","0.003076923076923077","0.1433846153846154","0.024","0.2584745762711864","0.2220609579100145","0.19158200290275762","0.023222060957910014","0.14078374455732948","0.05224963715529753","0.00725689404934688","0.05660377358490566","412","13.468547873303173","11.612332307692306","43.418992986425366","13.13994524886878","16.426515837104073","49.25090497737557","14.700677838673109","701","7.996857194570137","16.051470588235293","6200","9.841269841269842","0.10161290322580645","2.290909090909091","5.250209336364311","630","275","164","111","0.5963636363636363","0.4036363636363636","1.4774774774774775","25","0.03968253968253968","-4","4","0.006349206349206349","249","0.3952380952380952","0.49206349206349204","3283200","15","4"
