Title,CC,CW,CSN,CS,CMSL,CP,CMPL,CLSL,CSSL,CSTDSL,CLSSR,CB,CBPS,CNL,CNLTLR,CR,CCC,CCCPC,CCCPS,CEL,CELPS,CELPC,CIL,CILPC,CI,CIPC,CIPS,CL3,CIB,CCT,CNCT,SSLS,SSSS,SMSS,SLSR,SSSR,SQ,SQPS,SE,SEPS,SS,SMSPW,SMCPW,SSTP,SSTART,SSTC,SSTSUB,SSTI,SSTD,SSTADJ,SSTN,SSTADV,SSTPPS,SSTARTPS,SSTCPS,SSTSUBPS,SSTDPS,SSTADJPS,SSTNPS,SSTADVPS,SMV,STB,SUW,SN,SUN,SV,SUV,SP,SUP,SADV,SUADV,SADJ,SUADJ,SCC,SUCC,SSUB,SUSUB,SMVPW,STBPW,SUWPW,SNPW,SUNPW,SVPW,SUVPW,SPPW,SUPPW,SADVPW,SUADVPW,SADJPW,SUADJPW,SCCPW,SUCCPW,SSUBPW,SUSUBPW,STBPV,SUNPUW,SUVPUW,SUPPUW,SUADJPUW,SUADVPUW,SUCCPUW,SUSUBPUW,SWL6,RARI,RCL,RFRE,RFK,RGFI,RLBI,RSG,RDWS,RDC,RLWF,HA,HAPR,HRPD,HRPC,HRPCSD,HR,HC,HRC,HAC,HRCPC,HACPC,HRCPAC,HREV,HREVPR,HRML,HREC,HRECPR,HACT,HACTPR,HOCCPR,HSSLE,NT,NIN,NOUT,NASSinin,NASSinout,NASSoutin,NASSoutout,NREP,Quality
"History of the Nashville Sounds","58935","9793","444","7","8388.285714285714","77","765.3896103896104","18069","1482","7520.170248832706","12.192307692307692","10","1.4285714285714286","2071","0.03514040892508696","241","358","0.0060744888436412995","51.142857142857146","1","0.14285714285714285","1.6967845931958937e-05","409","0.006939848986171206","18","0.0003054212267752609","2.5714285714285716","0","0","246","64","62","5","22.784037558685448","0.14084507042253522","0.3333333333333333","0","0.0","0","0.0","15336","1.5800535751081806","4.883062023490624","26","123","0","93","0","136","12","1","16","0.06103286384976526","0.2887323943661972","0.0","0.21830985915492956","0.3192488262910798","0.028169014084507043","0.002347417840375587","0.03755868544600939","18","176","2249","1527","430","1175","468","185","14","149","65","607","232","243","5","1303","64","0.001854522975479085","0.01813311353801772","0.23171234288069237","0.15732536575314238","0.04430249330311148","0.12105913867710695","0.04821759736245621","0.019060375025757262","0.001442406758705955","0.015351329074799093","0.006696888522563363","0.06253863589532248","0.02390274057284154","0.025036060168967648","0.0005151452709664126","0.1342468576138471","0.00659385946837008","0.1497872340425532","0.19119608714984437","0.20809248554913296","0.006224988883948421","0.10315695864828812","0.028901734104046242","0.0022232103156958646","0.02845709204090707","2332","12.961240909983566","11.613249536369253","50.03666942378223","11.940406834163856","15.245904329058355","46.810412996558924","13.805912152814102","4663","8.715990797425532","14.884976525821596","1438","2.7547892720306515","0.36300417246175243","11.6","67.30946171500435","522","45","40","5","0.8888888888888888","0.1111111111111111","8.0","5","0.009578544061302681","40032","48","0.09195402298850575","460","0.8812260536398467","0.09770114942528736","172800","0","0","333","0.0","0.0","0.2188014254087395","2.982410370888357","0.0","5"
"22nd Massachusetts Infantry Regiment","30901","5134","274","12","2549.8333333333335","55","561.8363636363637","6500","646","1556.6876158476155","10.061919504643964","10","0.8333333333333334","1917","0.06203682728714281","72","98","0.0031714184006990066","8.166666666666666","1","0.08333333333333333","3.236141225203068e-05","166","0.005371994433837093","6","0.00019416847351218407","0.5","0","1","14","14","57","2","20.298387096774192","0.12096774193548387","0.3185483870967742","0","0.0","0","0.0","8300","1.648788239968216","4.879618593563767","13","78","2","84","0","84","3","0","18","0.05241935483870968","0.31451612903225806","0.008064516129032258","0.3387096774193548","0.3387096774193548","0.012096774193548387","0.0","0.07258064516129033","15","137","1250","630","246","709","306","116","15","171","84","211","135","139","4","804","53","0.0029797377830750892","0.02721493841875248","0.24831148192292413","0.12514898688915377","0.04886769964243146","0.14084227254668255","0.060786650774731825","0.023043305522447356","0.0029797377830750892","0.03396901072705602","0.0166865315852205","0.04191497814858959","0.026817640047675805","0.027612236789829162","0.0007945967421533572","0.15971394517282478","0.010528406833531982","0.19322990126939352","0.1968","0.2448","0.012","0.108","0.0672","0.0032","0.0424","1309","11.702197124072434","11.433913388955109","46.74465199546313","11.782072199366883","15.572672280108169","46.301565483742806","14.239265147142241","2439","8.65713969010727","13.931451612903226","5451","14.04896907216495","0.07117960007338103","3.6261682242990654","20.22912311424876","388","107","86","21","0.8037383177570093","0.19626168224299065","4.095238095238095","6","0.015463917525773196","0","0","0.0","251","0.6469072164948454","0.3170103092783505","28166400","2","38","134","0.019473864024598567","0.21085802363418393","0.06867099419200547","0.7435519780784381","0.06172839506172839","5"
"History of Liverpool F.C. (1959–1985)","25930","4206","203","7","3681.714285714286","32","810.3125","5043","1868","1290.6669741243238","2.699678800856531","0","0.0","1990","0.07674508291554184","13","13","0.0005013497878904743","1.8571428571428572","0","0.0","0.0","176","0.006787504820671038","8","0.00030852294639413806","1.1428571428571428","0","0","23","124","169","5","21.299492385786802","0.07614213197969544","0.29949238578680204","0","0.0","0","0.0","6771","1.6136796949475691","5.007149666348904","36","48","1","25","1","48","3","4","4","0.18274111675126903","0.2436548223350254","0.005076142131979695","0.12690355329949238","0.2436548223350254","0.015228426395939087","0.02030456852791878","0.02030456852791878","18","116","1098","656","236","595","242","178","18","100","47","337","143","107","4","545","44","0.004289799809342231","0.027645376549094377","0.2616777883698761","0.1563393708293613","0.05624404194470925","0.14180171591992374","0.05767397521448999","0.04242135367016206","0.004289799809342231","0.023832221163012392","0.011201143946615824","0.08031458531935176","0.034080076263107724","0.02550047664442326","0.0009532888465204957","0.12988560533841753","0.010486177311725452","0.1949579831932773","0.21493624772313297","0.2204007285974499","0.01639344262295082","0.1302367941712204","0.042805100182149364","0.0036429872495446266","0.04007285974499089","1065","12.803421121396738","12.252335557673977","48.698713035862085","11.75822243083817","15.383476649262292","46.680807924395","14.05049389776098","1900","8.206359493450373","14.304568527918782","3570","5.0423728813559325","0.19831932773109243","8.53012048192771","29.590018648926932","708","83","57","26","0.6867469879518072","0.3132530120481928","2.1923076923076925","15","0.0211864406779661","-270","2","0.002824858757062147","493","0.6963276836158192","0.12994350282485875","4233600","7","2","153","0.0010625636071964536","0.011572856391372961","0.08128611595052869","0.8853235139400316","0.006493506493506494","5"
"Quatermass II","15606","2541","101","5","3099.6","28","557.3571428571429","4815","1117","1482.8205555629447","4.310653536257833","0","0.0","1117","0.07157503524285531","47","74","0.004741765987440728","14.8","5","1.0","0.0003203895937459951","154","0.00986799948737665","0","0.0","0.0","0","1","26","36","76","1","27.626373626373628","0.17582417582417584","0.42857142857142855","0","0.0","1","0.01098901098901099","4366","1.7366746221161495","5.025855210819412","8","13","2","15","0","21","1","2","3","0.08791208791208792","0.14285714285714285","0.02197802197802198","0.16483516483516483","0.23076923076923078","0.01098901098901099","0.02197802197802198","0.03296703296703297","6","77","985","373","221","372","214","67","19","75","46","173","107","65","4","381","39","0.002386634844868735","0.030628480509148768","0.3918058870326173","0.14836913285600636","0.0879077167859984","0.14797136038186157","0.08512330946698489","0.026650755767700877","0.007557677008750994","0.029832935560859187","0.018297533810660304","0.06881463802704853","0.042561654733492445","0.025855210819411296","0.0015910898965791568","0.1515513126491647","0.015513126491646777","0.20698924731182797","0.22436548223350253","0.21725888324873097","0.019289340101522844","0.10862944162436548","0.046700507614213196","0.0040609137055837565","0.03959390862944162","696","16.054964856146242","12.680588703261733","31.87155773820453","15.677046255256279","19.578791296213733","55.31133782685096","16.993677332734833","1226","9.070562483499","19.703296703296704","6472","18.759420289855072","0.05330655129789864","2.3","7.577563136473911","345","150","121","29","0.8066666666666666","0.19333333333333333","4.172413793103448","4","0.011594202898550725","-235","4","0.011594202898550725","160","0.463768115942029","0.5362318840579711","1555200","5","40","103","0.025934510256384078","0.22874639769452448","0.066781363910189","0.5890219740634006","0.12598425196850394","5"
"Temple Sinai (Oakland, California)","23921","3765","188","10","2366.3","47","508.9574468085106","4474","80","1422.9902826247423","55.925","0","0.0","1492","0.06237197441578529","82","144","0.006019815225116007","14.4","18","1.8","0.0007524769031395009","191","0.007984616027758037","3","0.00012541281718991682","0.3","0","1","13","105","56","5","21.589595375722542","0.1676300578034682","0.32947976878612717","0","0.0","0","0.0","6566","1.7579651941097725","5.153681392235609","25","31","0","56","0","33","2","7","4","0.14450867052023122","0.1791907514450867","0.0","0.3236994219653179","0.1907514450867052","0.011560693641618497","0.04046242774566474","0.023121387283236993","13","88","1383","511","276","506","269","132","21","130","69","248","164","131","3","532","50","0.0034805890227576973","0.02356091030789826","0.37028112449799194","0.13681392235609102","0.07389558232931727","0.135475234270415","0.07202141900937081","0.035341365461847386","0.005622489959839358","0.03480589022757698","0.018473895582329317","0.06639892904953146","0.04390896921017403","0.035073627844712185","0.0008032128514056225","0.14243641231593038","0.013386880856760375","0.17391304347826086","0.19956616052060738","0.19450469992769343","0.015184381778741865","0.11858279103398409","0.049891540130151846","0.0021691973969631237","0.036153289949385395","1051","13.638637045290992","13.13261579651941","36.197705271954874","13.573931487027107","16.860737748682592","49.72881893663285","15.165663026037322","1987","9.471039379096348","15.234104046242775","5031","13.067532467532468","0.07652554164182071","2.9615384615384617","14.767135019513969","385","130","99","31","0.7615384615384615","0.23846153846153847","3.193548387096774","18","0.046753246753246755","0","1","0.0025974025974025974","208","0.5402597402597402","0.4051948051948052","13478400","5","18","135","0.007452352059390392","0.08955531155640956","0.05589264044542794","0.6716648366730716","0.05517241379310345","5"
"German battleship Tirpitz","29293","4829","239","3","9752.0","38","770.8684210526316","24541","2276","12807.909001862872","10.782513181019333","3","1.0","2276","0.07769774348820538","2","2","6.827569726555833e-05","0.6666666666666666","3","1.0","0.00010241354589833749","176","0.0060082613593691325","11","0.0003755163349605708","3.6666666666666665","5","4","27","304","94","2","21.035242290748897","0.13215859030837004","0.3744493392070485","0","0.0","0","0.0","7819","1.6374869109947643","4.937801047120419","10","78","0","36","0","86","17","6","7","0.04405286343612335","0.3436123348017621","0.0","0.15859030837004406","0.3788546255506608","0.07488986784140969","0.02643171806167401","0.030837004405286344","10","185","1451","741","313","749","336","69","15","118","66","344","181","181","4","566","52","0.0020942408376963353","0.0387434554973822","0.30387434554973825","0.15518324607329842","0.06554973821989529","0.1568586387434555","0.07036649214659686","0.014450261780104712","0.0031413612565445027","0.024712041884816755","0.01382198952879581","0.07204188481675393","0.03790575916230367","0.03790575916230367","0.000837696335078534","0.11853403141361256","0.010890052356020943","0.24699599465954605","0.21571330117160578","0.2315644383184011","0.010337698139214336","0.12474155754651964","0.04548587181254307","0.0027567195037904893","0.03583735354927636","1288","12.344664077311627","11.827107853403138","46.95283640473281","11.936090043130296","15.031897963419977","48.00906428027769","13.786359795257518","2433","9.08880770348502","13.997797356828194","7068","4.2966565349544075","0.23273910582908885","2.4811463046757165","10.407810970496909","1645","663","422","241","0.6365007541478129","0.363499245852187","1.7510373443983402","60","0.0364741641337386","-2","17","0.01033434650455927","722","0.4389057750759878","0.47112462006079026","432000","43","278","131","0.42173938273549477","1.9962722439129668","0.1987333062530569","0.9406894386784124","0.11748633879781421","5"
"South American dreadnought race","62866","10010","366","8","7816.75","92","683.3260869565217","12383","3029","3406.0093427436664","4.088147903598547","14","1.75","3029","0.04818184710336271","190","199","0.0031654630483886363","24.875","80","10.0","0.0012725479591512105","300","0.00477205484681704","9","0.0001431616454045112","1.125","0","0","0","420","123","0","29.40059347181009","0.19287833827893175","0.3887240356083086","0","0.0","0","0.0","17080","1.7238595074687122","5.155631812676625","17","97","3","80","0","125","8","8","21","0.050445103857566766","0.2878338278931751","0.008902077151335312","0.23738872403560832","0.37091988130563797","0.02373887240356083","0.02373887240356083","0.06231454005934718","73","315","2485","1318","564","1448","602","216","26","324","135","936","347","303","8","1321","67","0.007367783609204683","0.03179249091643117","0.2508074283407348","0.13302381913605169","0.05692369802180056","0.14614452967299152","0.06075898264029067","0.021800565199838515","0.0026241421073879695","0.03270084779975777","0.013625353249899072","0.0944691158659669","0.03502220427937021","0.03058134840532903","0.0008074283407347598","0.1333266047638272","0.006762212353653613","0.2175414364640884","0.22696177062374245","0.24225352112676057","0.010462776659959759","0.13963782696177063","0.05432595573440644","0.0032193158953722333","0.026961770623742453","3000","17.55332257361195","13.50833266047638","31.15488329425972","16.217773642136738","20.07674929829206","59.67915624936359","17.253291445044248","4739","9.010632173383856","20.81305637982196","3992","2.9702380952380953","0.3366733466933868","7.384615384615385","69.92881451177708","1344","182","141","41","0.7747252747252747","0.22527472527472528","3.4390243902439024","12","0.008928571428571428","-1495","33","0.024553571428571428","1068","0.7946428571428571","0.1488095238095238","172800","11","47","206","0.0213658712874112","0.35998589924368674","0.09364615925971717","1.577810537110627","0.058577405857740586","5"
"Brandenburg-class battleship","35539","5833","257","5","7093.2","52","683.4423076923077","17133","748","6343.756040391213","22.905080213903744","10","2.0","2936","0.08261346689552322","0","0","0.0","0.0","0","0.0","0.0","253","0.0071189397563240385","11","0.00030951911984017556","2.2","3","4","20","287","67","6","26.438356164383563","0.182648401826484","0.365296803652968","0","0.0","0","0.0","9627","1.6626943005181347","4.964421416234888","26","75","0","54","0","88","5","4","5","0.1187214611872146","0.3424657534246575","0.0","0.2465753424657534","0.4018264840182648","0.0228310502283105","0.0182648401826484","0.0228310502283105","29","197","1645","904","379","866","381","140","15","155","78","431","205","170","3","764","55","0.005008635578583765","0.03402417962003454","0.28411053540587217","0.15613126079447323","0.06545768566493955","0.14956822107081175","0.06580310880829016","0.024179620034542316","0.0025906735751295338","0.02677029360967185","0.013471502590673576","0.07443868739205527","0.03540587219343696","0.02936096718480138","0.0005181347150259067","0.1319516407599309","0.009499136442141624","0.22748267898383373","0.2303951367781155","0.23161094224924011","0.00911854103343465","0.12462006079027356","0.04741641337386018","0.00182370820668693","0.03343465045592705","1591","15.171602952658098","12.27121243523316","39.33613066931653","14.340751650223577","18.140109305131666","53.916767217924146","15.903189008614273","2899","9.217250928620437","18.21917808219178","5475","10.330188679245284","0.09680365296803653","5.196078431372549","34.75231717203143","530","102","84","18","0.8235294117647058","0.17647058823529413","4.666666666666667","4","0.007547169811320755","27","6","0.011320754716981131","393","0.7415094339622641","0.20754716981132076","1296000","15","5","184","0.002138034249929307","0.03720148805952238","0.0786796603973985","1.3690147605904235","0.016129032258064516","5"
"SMS König Albert","17134","2914","136","3","5699.0","24","713.9166666666666","13774","1566","6993.807189221046","8.795657726692209","4","1.3333333333333333","1757","0.10254464806816856","0","0","0.0","0.0","0","0.0","0.0","155","0.009046340609314812","4","0.0002334539512081242","1.3333333333333333","1","4","12","172","57","7","22.976190476190474","0.15079365079365079","0.3333333333333333","0","0.0","0","0.0","4501","1.5547495682210708","4.757858376511226","7","41","0","33","0","47","1","3","4","0.05555555555555555","0.3253968253968254","0.0","0.2619047619047619","0.373015873015873","0.007936507936507936","0.023809523809523808","0.031746031746031744","7","81","944","362","200","393","215","59","13","55","35","166","87","82","2","411","47","0.0024179620034542313","0.027979274611398965","0.3260794473229706","0.12504317789291883","0.0690846286701209","0.13575129533678756","0.07426597582037997","0.020379965457685664","0.004490500863557859","0.018998272884283247","0.012089810017271158","0.05734024179620035","0.03005181347150259","0.028324697754749568","0.000690846286701209","0.14196891191709846","0.01623488773747841","0.20610687022900764","0.211864406779661","0.2277542372881356","0.013771186440677966","0.09216101694915255","0.037076271186440676","0.00211864406779661","0.04978813559322034","690","12.467608191463114","10.887917098445595","51.98235319516411","11.716759190722922","15.117937330372564","46.810387367382184","13.670257668871098","1550","9.593677769553418","14.892857142857142","5949","30.50769230769231","0.03277861825516894","2.91044776119403","11.85739935624342","195","67","62","5","0.9253731343283582","0.07462686567164178","12.4","0","0.0","67","4","0.020512820512820513","112","0.5743589743589743","0.4256410256410256","259200","11","1","111","0.00038561915976339514","0.007773459189339256","0.042803726733736856","0.8628539700166574","0.0","5"
"SMS Schlesien","22472","3787","184","3","7478.333333333333","27","832.2962962962963","18059","2072","9163.860340125953","8.71573359073359","5","1.6666666666666667","2304","0.10252758988964045","0","0","0.0","0.0","1","0.3333333333333333","4.4499822000712e-05","159","0.007075471698113208","5","0.00022249911000356","1.6666666666666667","2","4","18","176","55","5","22.23076923076923","0.13609467455621302","0.3668639053254438","0","0.0","0","0.0","5990","1.594357199893532","4.819803034335906","29","37","0","52","0","42","4","2","8","0.17159763313609466","0.21893491124260356","0.0","0.3076923076923077","0.2485207100591716","0.023668639053254437","0.011834319526627219","0.047337278106508875","12","118","1111","525","229","522","255","128","15","108","50","243","130","114","3","532","48","0.0031940377961139207","0.031408038328453555","0.2957146659568805","0.13973915357998404","0.06095288794250732","0.13894064413095555","0.06787330316742081","0.03406973649188182","0.003992547245142401","0.028746340165025287","0.013308490817141336","0.06467926537130689","0.03460207612456748","0.030343359063082248","0.0007985094490284802","0.14160234229438382","0.012776151184455683","0.2260536398467433","0.20612061206120613","0.2295229522952295","0.013501350135013501","0.11701170117011701","0.045004500450045004","0.0027002700270027003","0.043204320432043204","937","12.386656907106733","11.20895395262177","49.38815011977644","11.89341495874368","15.365557625765241","47.17088102209209","13.964710194355629","1871","8.966124993345757","14.71301775147929","6239","12.578629032258064","0.07949991985895176","2.8181818181818183","15.11861328073668","496","176","148","28","0.8409090909090909","0.1590909090909091","5.285714285714286","18","0.036290322580645164","182","20","0.04032258064516129","274","0.5524193548387096","0.3971774193548387","3110400","15","9","115","0.002354948369831133","0.06428571428571428","0.030091006947842256","0.8214285714285714","0.008130081300813009","5"
