Title,CC,CW,CSN,CS,CMSL,CP,CMPL,CLSL,CSSL,CSTDSL,CLSSR,CB,CBPS,CNL,CNLTLR,CR,CCC,CCCPC,CCCPS,CEL,CELPS,CELPC,SSLS,SSSS,SMSS,SLSR,SSSR,SQ,SQPS,SE,SEPS,SS,SMSPW,SMCPW,SSTP,SSTART,SSTC,SSTSUB,SSTI,SSTD,SSTADJ,SSTN,SSTADV,SSTPPS,SSTARTPS,SSTCPS,SSTSUBPS,SSTDPS,SSTADJPS,SSTNPS,SSTADVPS,SMV,STB,SUW,SN,SUN,SV,SUV,SP,SUP,SADV,SUADV,SADJ,SUADJ,SCC,SUCC,SSUB,SUSUB,SMVPW,STBPW,SUWPW,SNPW,SUNPW,SVPW,SUVPW,SPPW,SUPPW,SADVPW,SUADVPW,SADJPW,SUADJPW,SCCPW,SUCCPW,SSUBPW,SUSUBPW,STBPV,SUNPUW,SUVPUW,SUPPUW,SUADJPUW,SUADVPUW,SUCCPUW,SUSUBPUW,SWL6,RARI,RCL,RFRE,RFK,RGFI,RLBI,RSG,RDWS,RDC,RLWF,Quality
"Neferefre","23478","3778","149","7","3337.5714285714284","41","572.6341463414634","8417","1","2829.094192914218","8417.0","12","1.7142857142857142","1662","0.07078967544083824","0","0","0.0","0.0","2","0.2857142857142857","8.51861316977596e-05","61","0","26.295774647887324","0.19718309859154928","0.3873239436619718","0","0.0","0","0.0","6587","1.7640599892876272","5.056775575790038","14","22","0","21","0","40","2","2","22","0.09859154929577464","0.15492957746478872","0.0","0.14788732394366197","0.28169014084507044","0.014084507042253521","0.014084507042253521","0.15492957746478872","21","152","1095","625","286","549","227","103","16","165","76","284","157","104","5","581","44","0.005623995715050884","0.040707016604177824","0.2932512051419389","0.16738082485270486","0.07659346545259775","0.14702731655061596","0.06079271558650241","0.027584359935725764","0.004284949116229245","0.04418853776111409","0.020353508302088912","0.0760578468130691","0.042046063202999466","0.02785216925549009","0.001339046598821639","0.15559721478307445","0.011783610069630423","0.2768670309653916","0.26118721461187216","0.20730593607305936","0.014611872146118721","0.14337899543378996","0.06940639269406393","0.0045662100456621","0.04018264840182648","1080","15.535300285914737","12.808184252811998","30.905313638661113","15.481259986270057","19.52741537602692","55.219181182434724","17.03178751757255","1611","8.116720877811057","19.070422535211268","5"
"2010 United States Senate Democratic primary election in Pennsylvania","45891","7205","313","6","7631.0","51","899.8235294117648","25635","671","9607.28488179673","38.20417287630402","10","1.6666666666666667","2273","0.04953040901266043","122","222","0.004837549846375106","37.0","36","6.0","0.0007844675426554226","90","0","27.20152091254753","0.18250950570342206","0.3612167300380228","1","0.0038022813688212928","1","0.0038022813688212928","12803","1.789628180039139","5.221694157114901","13","35","2","42","0","44","8","14","34","0.049429657794676805","0.13307984790874525","0.0076045627376425855","0.1596958174904943","0.16730038022813687","0.030418250950570342","0.053231939163498096","0.12927756653992395","54","160","1846","987","405","1227","498","340","24","284","109","482","236","197","8","925","58","0.007548224769359799","0.02236511042773274","0.25803746155996643","0.1379647749510763","0.05661168577019849","0.17151244059267542","0.06961140620631814","0.047525859658932065","0.0033547665641599105","0.03969807100922561","0.015236231478892926","0.06737489516354488","0.032988537880905784","0.02753704221414593","0.0011182555213866368","0.12929829466032988","0.008107352530053118","0.13039934800325997","0.21939328277356446","0.26977248104008666","0.013001083423618635","0.12784398699891658","0.0590465872156013","0.004333694474539545","0.0314192849404117","2307","16.764939936284954","13.815387195974278","27.822912242453157","16.136205680355378","19.714826983973445","59.44921451053467","17.131278347638894","3529","9.138251909166188","19.60836501901141","5"
"Jean Bolikango","21447","3329","158","4","5347.75","23","932.4782608695652","14266","873","6060.388017005732","16.34135166093929","5","1.25","2512","0.11712593835967734","7","18","0.000839278220730172","4.5","0","0.0","0.0","53","6","21.270967741935483","0.14838709677419354","0.32903225806451614","0","0.0","0","0.0","6320","1.9168941461935092","5.330300272975432","33","13","0","51","0","23","3","0","8","0.2129032258064516","0.08387096774193549","0.0","0.32903225806451614","0.14838709677419354","0.01935483870967742","0.0","0.05161290322580645","16","53","1155","433","248","424","260","169","11","94","57","275","137","101","2","491","47","0.004852896572641796","0.016075219896875947","0.3503184713375796","0.13133151349711858","0.07521989687594784","0.12860175917500757","0.07885956930542917","0.051258720048528966","0.0033363663936912345","0.02851076736427055","0.017288444040036398","0.08340915984228087","0.04155292690324537","0.030633909614801336","0.0006066120715802245","0.1489232635729451","0.014255383682135275","0.125","0.21471861471861473","0.22510822510822512","0.009523809523809525","0.11861471861471862","0.04935064935064935","0.0017316017316017316","0.04069264069264069","1143","14.311198156682025","14.150597512890506","23.075722973964616","15.325028344438248","20.240264561135735","55.93884763274531","17.398060106333222","1709","9.239786739460115","16.874193548387098","5"
"The Boat Race 2020","13175","2243","106","7","1870.2857142857142","23","572.8260869565217","5027","159","1592.1812830501551","31.61635220125786","6","0.8571428571428571","1114","0.08455407969639468","38","42","0.0031878557874762807","6.0","0","0.0","0.0","48","6","23.74468085106383","0.13829787234042554","0.2872340425531915","0","0.0","0","0.0","3413","1.5291218637992832","4.693996415770609","10","29","0","14","0","30","6","0","5","0.10638297872340426","0.30851063829787234","0.0","0.14893617021276595","0.3191489361702128","0.06382978723404255","0.0","0.05319148936170213","10","82","645","307","123","303","114","36","11","43","27","146","90","66","3","331","37","0.004480286738351254","0.036738351254480286","0.28897849462365593","0.13754480286738352","0.05510752688172043","0.135752688172043","0.051075268817204304","0.016129032258064516","0.00492831541218638","0.019265232974910396","0.012096774193548387","0.06541218637992832","0.04032258064516129","0.02956989247311828","0.0013440860215053765","0.14829749103942652","0.016577060931899642","0.2706270627062706","0.19069767441860466","0.17674418604651163","0.017054263565891473","0.13953488372093023","0.04186046511627907","0.004651162790697674","0.05736434108527132","444","12.551063543811487","10.554103942652329","53.37043925875088","11.714063524746436","15.107191336841304","43.6371539693434","13.553550651376248","987","8.16014208419126","15.202127659574469","5"
"Tylopilus felleus","13498","2173","151","7","1911.142857142857","22","613.5454545454545","2935","626","891.7934044331547","4.68849840255591","0","0.0","1198","0.08875388946510594","51","155","0.011483182693732405","22.142857142857142","0","0.0","0.0","49","4","20.186915887850468","0.12149532710280374","0.3364485981308411","0","0.0","0","0.0","3833","1.774537037037037","5.0569444444444445","13","31","0","17","0","34","7","6","2","0.12149532710280374","0.2897196261682243","0.0","0.1588785046728972","0.3177570093457944","0.06542056074766354","0.056074766355140186","0.018691588785046728","19","81","892","377","228","316","162","58","8","72","44","218","162","100","3","299","36","0.008796296296296297","0.0375","0.412962962962963","0.17453703703703705","0.10555555555555556","0.14629629629629629","0.075","0.026851851851851852","0.003703703703703704","0.03333333333333333","0.020370370370370372","0.10092592592592593","0.075","0.046296296296296294","0.001388888888888889","0.13842592592592592","0.016666666666666666","0.2563291139240506","0.2556053811659193","0.18161434977578475","0.008968609865470852","0.18161434977578475","0.04932735426008968","0.0033632286995515697","0.04035874439461883","619","12.481666277258569","12.468537037037034","36.219447040498466","13.22243423329872","16.630321910695745","48.84432329525788","14.999737276313112","1063","8.771997879889234","14.411214953271028","5"
"Vijayanagara literature in Kannada","43964","6779","266","3","14639.666666666666","55","799.3454545454546","31124","2074","14916.18538143494","15.006750241080038","7","2.3333333333333335","2074","0.04717496133199891","108","171","0.0038895459921754164","57.0","0","0.0","0.0","70","7","25.911877394636015","0.1685823754789272","0.38697318007662834","0","0.0","0","0.0","12851","1.9001922223865149","5.309330178914683","22","69","0","48","0","87","12","12","9","0.0842911877394636","0.26436781609195403","0.0","0.1839080459770115","0.3333333333333333","0.04597701149425287","0.04597701149425287","0.034482758620689655","3","183","1949","1346","465","747","327","146","16","137","69","575","252","232","4","943","51","0.00044359012272660064","0.027058997486322636","0.2881857163980482","0.19902410173000148","0.0687564690226231","0.11045394055892356","0.04835132337719947","0.02158805263936123","0.002365813987875203","0.02025728227118143","0.010202572822711814","0.08502144018926512","0.03726157030903445","0.03430430282419045","0.0005914534969688008","0.1394351619103948","0.007541032086352211","0.24497991967871485","0.23858388917393536","0.16777834787070292","0.008209338122113904","0.129297075423294","0.03540277065161621","0.002052334530528476","0.02616726526423807","2135","16.532883840006164","14.276528167972792","19.778182430545314","16.937900408068923","20.74475982965686","57.48070779534576","17.942789672871438","3725","9.982220099108117","19.68007662835249","5"
"Exsudoporus frostii","11156","1775","114","4","2771.25","19","587.1578947368421","5370","1218","1801.3001554432842","4.4088669950738915","2","0.5","1218","0.10917891717461456","34","97","0.008694872714234492","24.25","1","0.25","8.963786303334529e-05","68","4","23.493333333333332","0.12","0.30666666666666664","0","0.0","0","0.0","3158","1.7922814982973894","5.085698070374574","4","26","0","10","0","30","1","4","2","0.05333333333333334","0.3466666666666667","0.0","0.13333333333333333","0.4","0.013333333333333334","0.05333333333333334","0.02666666666666667","14","74","733","332","185","263","138","53","12","78","56","171","128","60","5","247","36","0.007945516458569807","0.04199772985244041","0.4160045402951192","0.188422247446084","0.10499432463110102","0.1492622020431328","0.07832009080590238","0.030079455164585697","0.00681044267877412","0.04426787741203178","0.03178206583427923","0.09704880817253121","0.07264472190692395","0.0340522133938706","0.0028376844494892167","0.14018161180476732","0.02043132803632236","0.2813688212927757","0.252387448840382","0.1882673942701228","0.01637107776261937","0.17462482946793997","0.07639836289222374","0.0068212824010914054","0.04911323328785812","511","14.270304578130911","12.843972758229285","31.362251910707556","14.721321679909195","18.069297010972377","52.49446840711313","16.021862589918424","825","8.558430513810064","16.84","5"
"Broad Ripple Park Carousel","13649","2221","101","3","4536.666666666667","27","505.51851851851853","10655","1315","5301.123308633118","8.102661596958175","7","2.3333333333333335","1640","0.12015532273426624","22","66","0.0048355190856473","22.0","0","0.0","0.0","52","9","22.690721649484537","0.16494845360824742","0.36082474226804123","0","0.0","0","0.0","3823","1.736937755565652","4.987732848705134","4","48","1","21","0","52","2","3","3","0.041237113402061855","0.4948453608247423","0.010309278350515464","0.21649484536082475","0.5360824742268041","0.020618556701030927","0.030927835051546393","0.030927835051546393","6","115","706","346","139","378","169","49","9","60","37","111","80","70","4","310","41","0.0027260336210813267","0.052248977737392094","0.32076328941390275","0.15720127214902316","0.0631531122217174","0.1717401181281236","0.07678328032712403","0.0222626079054975","0.00408905043162199","0.027260336210813266","0.016810540663334848","0.050431621990004546","0.03634711494775102","0.03180372557928214","0.001817355747387551","0.14084507042253522","0.0186278964107224","0.30423280423280424","0.19688385269121814","0.23937677053824363","0.012747875354107648","0.11331444759206799","0.05240793201133145","0.0056657223796034","0.05807365439093484","665","13.407582542143452","12.223371194911405","36.85898340491906","13.755246958973661","18.290282299048698","52.90426094980258","16.189697581093206","1024","8.471647890134289","16.572164948453608","5"
"Interstate 296","6980","1087","58","4","1730.75","8","872.5","2859","886","883.544896048488","3.22686230248307","0","0.0","886","0.12693409742120343","19","33","0.0047277936962750716","8.25","3","0.75","0.0004297994269340974","96","7","25.27906976744186","0.16279069767441862","0.46511627906976744","0","0.0","0","0.0","1818","1.6724931002759889","5.2171113155473785","3","11","0","7","0","13","2","2","1","0.06976744186046512","0.2558139534883721","0.0","0.16279069767441862","0.3023255813953488","0.046511627906976744","0.046511627906976744","0.023255813953488372","5","20","446","199","105","111","82","13","7","19","19","73","58","37","3","145","29","0.004599816007359705","0.01839926402943882","0.41030358785648574","0.18307267709291627","0.09659613615455381","0.10211591536338546","0.07543698252069918","0.011959521619135235","0.006439742410303588","0.017479300827966882","0.017479300827966882","0.0671573137074517","0.05335786568537258","0.03403863845446182","0.0027598896044158236","0.13339466421343146","0.02667893284268629","0.18018018018018017","0.23542600896860988","0.18385650224215247","0.01569506726457399","0.13004484304932734","0.042600896860986545","0.006726457399103139","0.06502242152466367","307","15.78212917994908","13.70568537258509","39.683827902697885","14.004255792558997","17.029751182045743","53.521940052630455","15.074195675534558","621","10.274623829186368","17.011627906976745","5"
"NASA Astronaut Group 2","17987","2968","145","7","2547.5714285714284","29","620.2413793103449","4889","1263","1345.138512959769","3.870942201108472","0","0.0","1446","0.08039139378439984","20","33","0.0018346583643742702","4.714285714285714","0","0.0","0.0","88","6","23.677419354838708","0.16129032258064516","0.4032258064516129","0","0.0","0","0.0","4895","1.667234332425068","4.912125340599455","13","32","1","23","0","42","3","0","5","0.10483870967741936","0.25806451612903225","0.008064516129032258","0.18548387096774194","0.3387096774193548","0.024193548387096774","0.0","0.04032258064516129","15","107","1035","372","219","407","203","83","18","75","44","164","110","120","5","382","41","0.005108991825613079","0.036444141689373294","0.3525204359673024","0.12670299727520437","0.07459128065395096","0.13862397820163488","0.069141689373297","0.02826975476839237","0.006130790190735695","0.025544959128065394","0.014986376021798364","0.055858310626702996","0.03746594005449591","0.04087193460490463","0.0017029972752043597","0.13010899182561309","0.013964577656675749","0.2628992628992629","0.21159420289855072","0.1961352657004831","0.017391304347826087","0.10628019323671498","0.04251207729468599","0.004830917874396135","0.03961352657004831","781","13.544820031642786","11.833160762942779","41.754394831677956","13.3175586710029","17.100395534851014","50.27823679353081","15.2693633228603","1494","9.20922970027248","16.35483870967742","5"
