Id,Include (1),Include (2)
1,Yes,
2,Yes,
3,Yes,
4,Yes,
5,Yes,
6,Yes,
7,Yes,
8,Yes,
9,Yes,
10,Yes,
11,Yes,
12,Yes,
13,Yes,
14,Yes,
15,Yes,
16,Yes,
17,Yes,
18,Yes,
19,Yes,
20,Yes,
21,Yes,
22,Maybe,
23,Yes,
24,Yes,
25,Yes,
26,Yes,
27,Yes,
28,Yes,
29,Yes,
30,Yes,
31,Yes,
32,Yes,
33,Maybe,
34,Yes,
35,Yes,
36,Yes,
37,Yes,
38,Yes,
39,Yes,
40,No,No
41,Yes,
42,Maybe,
43,Maybe,
44,Duplicate (17),
45,Yes,
46,Yes,
47,Maybe,
48,Maybe,
49,Maybe,
50,Yes,
51,Yes,
52,Yes,
53,Yes,
54,Yes,
55,Maybe,
56,Yes,
57,Maybe,
58,Maybe,
59,Yes,
60,Yes,
61,Yes,
62,Yes,
63,Yes,
64,Yes,
65,Maybe,
66,Yes,
67,Yes,
68,Maybe,
69,Maybe,
70,Yes,
71,Yes,
72,Maybe,
73,Yes,
74,Yes,
75,Maybe,
76,Yes,
77,Maybe,
78,Yes,
79,Yes,
80,Yes,
81,Yes,
82,Yes,
83,Yes,
84,Yes,
85,Yes,
86,No,No
87,Yes,
88,Yes,
89,Yes,
90,Yes,
91,Yes,
92,Yes,
93,No,No
94,Yes,
95,Yes,
96,Yes,
97,Maybe,
98,Duplicate (38),
99,Yes,
100,Maybe,
101,Yes,
102,Maybe,
103,Maybe,
104,No,No
105,Yes,
106,Yes,
107,Maybe,
108,Yes,
109,Maybe,
110,No,No
111,Maybe,
112,Yes,
113,Yes,
114,Yes,
115,Maybe,
116,Yes,
117,Yes,
118,Yes,
119,Yes,
120,Maybe,
121,Maybe,
122,Yes,
123,Yes,
124,No,No
125,Yes,
126,Duplicate (2),
127,Yes,
128,Yes,
129,Maybe,
130,Yes,
131,Yes,
132,Maybe,
133,Yes,
134,Maybe,
135,Maybe,
136,Yes,
137,Yes,
138,No,No
139,Yes,
140,Maybe,
141,Maybe,
142,Yes,
143,Maybe,
144,Yes,
