id,database,title,authors,year,journal_type,journal,citations,url,pdf
1,Google Scholar,Measuring article quality in wikipedia: models and evaluation,"M Hu, EP Lim, A Sun, HW Lauw…",2007,Conference,"Proceedings of the …, 2007",357,https://dl.acm.org/doi/abs/10.1145/1321440.1321476,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=2515&context=sis_research
2,Google Scholar,Cooperation and quality in wikipedia,"DM Wilkinson, BA Huberman",2007,Conference,"… of the 2007 international symposium on …, 2007",380,https://dl.acm.org/doi/abs/10.1145/1296951.1296968,N/A
3,Google Scholar,Who does what: Collaboration patterns in the Wikipedia and their impact on article quality,"J Liu, S Ram",2011,unknown,"ACM Transactions on Management Information …, 2011",169,https://dl.acm.org/doi/abs/10.1145/1985347.1985352,N/A
4,Google Scholar,Size matters: word count as a measure of quality on wikipedia,JE Blumenstock,2008,Conference,"Proceedings of the 17th international conference on …, 2008",377,https://dl.acm.org/doi/abs/10.1145/1367497.1367673,http://www.ambuehler.ethz.ch/CDstore/www2008/www2008.org/papers/pdf/p1095-jblumenstock.pdf
5,Google Scholar,Harnessing the wisdom of crowds in wikipedia: quality through coordination,"A Kittur, RE Kraut",2008,Conference,"Proceedings of the 2008 ACM conference on …, 2008",942,https://dl.acm.org/doi/abs/10.1145/1460563.1460572,http://pensivepuffin.com/dwmcphd/syllabi/insc547_wi13/papers/wikipedia/kittur-wisdomOfCrowd-CSCW08.pdf
6,Google Scholar,Determinants of wikipedia quality: the roles of global and local contribution inequality,"O Arazy, O Nov",2010,Conference,"Proceedings of the 2010 ACM conference on …, 2010",113,https://dl.acm.org/doi/abs/10.1145/1718918.1718963,http://www.oferarazy.com/PDF/Determinants%20of%20Wikipedia%20Quality%20the%20Roles%20of%20Global%20and%20Local%20Contribution%20Inequality.pdf
7,Google Scholar,Information quality work organization in Wikipedia,"B Stvilia, MB Twidale, LC Smith…",2008,Journal,"Journal of the American …, 2008",493,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.20813,https://www.researchgate.net/profile/Besiki-Stvilia/publication/200772424_Information_quality_work_organization_in_Wikipedia/links/5a920becaca2721405643352/Information-quality-work-organization-in-Wikipedia.pdf
8,Google Scholar,On measuring the quality of Wikipedia articles,"G De la Calzada, A Dekhtyar",2010,Conference,"Proceedings of the 4th workshop on …, 2010",80,https://dl.acm.org/doi/abs/10.1145/1772938.1772943,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1111&context=csse_fac
9,Google Scholar,Don't bite the newbies: how reverts affect the quantity and quality of Wikipedia work,"A Halfaker, A Kittur, J Riedl",2011,Conference,"… of the 7th international symposium on wikis …, 2011",256,https://dl.acm.org/doi/abs/10.1145/2038558.2038585,https://www.opensym.org/ws2011/_media/proceedings%253Ap163-halfaker.pdf
10,Google Scholar,Assessing the quality of Wikipedia articles with lifecycle based metrics,"T Wöhner, R Peters",2009,Conference,"Proceedings of the 5th International Symposium on …, 2009",140,https://dl.acm.org/doi/abs/10.1145/1641309.1641333,https://www.opensym.org/ws2009/Proceedings/p116-woehner.pdf
