Id,Title,URL,PDF,Features/Metrics,ML,Exclusion,Include,Notes,Keywords,Type,Feature List,ML,Algorithms,Results,Dataset Size,# Classes,Nmaj,Nmin,IR,Languages,Reproducibility,Other
1,Measuring article quality in wikipedia: models and evaluation,https://dl.acm.org/doi/10.1145/1321440.1321476,https://dl.acm.org/doi/pdf/10.1145/1321440.1321476,Yes,No,,Yes,texto excluído: Uses the metrics to directly output the quality and not for ML. Acho que é de mudar,"Wikipedia, article quality, collaborative authoring, authority, peer review",metric-based,"complex metrics: PeerReview, ProbReview
CharCount",N/A,,N/A,242,6,155,14,"11,07",English,,
2,Cooperation and quality in wikipedia,https://dl.acm.org/doi/10.1145/1296951.1296968,https://dl.acm.org/doi/pdf/10.1145/1296951.1296968,,,Focus,No,"texto excluído: Little emphasis is given to predicting Wikipedia quality, more to evaluate correlation between a few criteria (e.g # of edits) and quality","Cooperation, Wikipedia",,,,,,,,,,,,,
3,Who does what: Collaboration patterns in the wikipedia and their impact on article quality,https://dl.acm.org/doi/10.1145/1985347.1985352,https://dl.acm.org/doi/pdf/10.1145/1985347.1985352,,,Focus,No,,"Wikipedia, collaboration pattern, article quality",,,,,,,,,,,,,
4,Size matters: word count as a measure of quality on wikipedia,https://dl.acm.org/doi/10.1145/1367497.1367673,https://dl.acm.org/doi/pdf/10.1145/1367497.1367673,Yes,Yes,,Yes,incluido no artigo,"Wikipedia, information quality, word count",,CharCount,,,,,,,,,,,
5,Harnessing the wisdom of crowds in wikipedia: quality through coordination,https://dl.acm.org/doi/10.1145/1460563.1460572,https://dl.acm.org/doi/pdf/10.1145/1460563.1460572,,,Focus. Manual (somewhat).,No,,"Wikipedia, wiki, coordination, social computing, collective intelligence, distributed cognition, collaboration",,,,,,,,,,,,,
6,Determinants of wikipedia quality: the roles of global and local contribution inequality,https://dl.acm.org/doi/10.1145/1718918.1718963,https://dl.acm.org/doi/pdf/10.1145/1718918.1718963,,,Focus,No,abstract excluido,"Wikipedia, quality, contributing inequality, coordination",,,,,,,,,,,,,
7,Information quality work organization in wikipedia,https://onlinelibrary.wiley.com/doi/10.1002/asi.20813,https://myweb.fsu.edu/bstvilia/papers/stvilia_wikipedia_infoWork_p.pdf,,,Focus,No,,"Collaborative Quality Control, Collaborative Content Creation, Information Quality, Distributed Collective Practices",,,,,,,,,,,,,
8,On measuring the quality of Wikipedia articles,https://dl.acm.org/doi/10.1145/1772938.1772943,https://dl.acm.org/doi/pdf/10.1145/1772938.1772943,Yes,No,,Yes,incluido no artigo,"Wikipedia, quality, models
",,"Log10(CharCount)
Citations / CharCount,
InternalLinks / CharCount,
ExternalLinks / CharCount,
ImageCount / CharCount,
SectionCount / CharCount,
AvgReverts (RevertCount / RevisionCount),
RevisionCount / RegisteredAuthorCount
RevisionCount / AnonymousAuthorCount
%Anonymous (AnonymousAuthorCount / AuthorCount)",N/A,,,,,,,,,,
9,Don't bite the newbies: how reverts affect the quantity and quality of Wikipedia work,https://dl.acm.org/doi/10.1145/2038558.2038585,https://dl.acm.org/doi/pdf/10.1145/2038558.2038585,Yes,No,Focus,No,"abstract excluido. 
tem features (3.3), mas acho que o foco é diferent","Wikipedia, WikiWork, Experience, Quality, Motivation, Productivity, Revert",,,,,,,,,,,,,
10,Assessing the quality of Wikipedia articles with lifecycle based metrics,https://dl.acm.org/doi/10.1145/1641309.1641333,https://dl.acm.org/doi/pdf/10.1145/1641309.1641333,Yes,No,,Yes,incluido no artigo,"Wikipedia, quality assessment, Wikipedia lifecycle, transient contribution, persistent contribution",,"complex metrics: TransientContribution, PersistentContribution + derivations of those,
CharCount",N/A,,,,,,,,,,
