id,databases,title,abstract,authors,year,publication_type,published_in,num_references,num_citations,url,doi,pdf
1,"ACM, Google Scholar",Measuring article quality in wikipedia: models and evaluation,"Wikipedia has grown to be the world largest and busiest free encyclopedia, in which articles are collaboratively written and maintained by volunteers online. Despite its success as a means of knowledge sharing and collaboration, the public has never stopped criticizing the quality of Wikipedia articles edited by non-experts and inexperienced contributors. In this paper, we investigate the problem of assessing the quality of articles in collaborative authoring of Wikipedia. We propose three article quality measurement models that make use of the interaction data between articles and their contributors derived from the article edit history. Our B<scp>asic</scp> model is designed based on the mutual dependency between article quality and their author authority. The P<scp>eer</scp>R<scp>eview</scp> model introduces the review behavior into measuring article quality. Finally, our P<scp>rob</scp>R<scp>eview</scp> models extend P<scp>eer</scp>R<scp>eview</scp> with partial reviewership of contributors as they edit various portions of the articles. We conduct experiments on a set of well-labeled Wikipedia articles to evaluate the effectiveness of our quality measurement models in resembling human judgement.",Meiqun Hu; Ee-Peng Lim; Aixin Sun; Hady W. Lauw; Ba-Quy Vuong,2007,Conference,"International Conference on Information and Knowledge Management, pp. 243-252",31,282,https://www.semanticscholar.org/paper/ee70063f74e209ec5dc3edfa13fbb82d60d1a3eb,10.1145/1321440.1321476,
2,"ACM, Google Scholar",Cooperation and quality in wikipedia,"The rise of the Internet has enabled collaboration and cooperation on anunprecedentedly large scale. The online encyclopedia Wikipedia, which presently comprises 7.2 million articles created by 7.04 million distinct editors, provides a consummate example. We examined all 50 million edits made tothe 1.5 million English-language Wikipedia articles and found that the high-quality articles are distinguished by a marked increase in number of edits, number of editors, and intensity of cooperative behavior, as compared to other articles of similar visibility and age. This is significant because in other domains, fruitful cooperation has proven to be difficult to sustain as the size of the collaboration increases. Furthermore, in spite of the vagaries of human behavior, we show that Wikipedia articles accrete edits according to a simple stochastic mechanism in which edits beget edits. Topics of high interest or relevance are thus naturally brought to the forefront of quality.",D. Wilkinson; B. Huberman,2007,Conference,N/A,41,288,https://www.semanticscholar.org/paper/9c61b818ecc29a132592d886fd0d5cb0047b5b6d,10.1145/1296951.1296968,
3,"ACM, Google Scholar",Who does what: Collaboration patterns in the wikipedia and their impact on article quality,"The quality of Wikipedia articles is debatable. On the one hand, existing research indicates that not only are people willing to contribute articles but the quality of these articles is close to that found in conventional encyclopedias. On the other hand, the public has never stopped criticizing the quality of Wikipedia articles, and critics never have trouble finding low-quality Wikipedia articles. Why do Wikipedia articles vary widely in quality? We investigate the relationship between collaboration and Wikipedia article quality. We show that the quality of Wikipedia articles is not only dependent on the different types of contributors but also on how they collaborate. Based on an empirical study, we classify contributors based on their roles in editing individual Wikipedia articles. We identify various patterns of collaboration based on the provenance or, more specifically, who does what to Wikipedia articles. Our research helps identify collaboration patterns that are preferable or detrimental for article quality, thus providing insights for designing tools and mechanisms to improve the quality of Wikipedia articles.",Jun Liu; S. Ram,2011,Journal,"ACM Trans. Manag. Inf. Syst., 2, pp. 11:1-11:23",53,181,https://www.semanticscholar.org/paper/620ba4d148d6e8d0f3103bf6ec47209534a33710,10.1145/1985347.1985352,
4,"ACM, Google Scholar",Size matters: word count as a measure of quality on wikipedia,"Wikipedia, ""the free encyclopedia"", now contains over two million English articles, and is widely regarded as a high-quality, authoritative encyclopedia. Some Wikipedia articles, however, are of questionable quality, and it is not always apparent to the visitor which articles are good and which are bad. We propose a simple metric -- word count -- for measuring article quality. In spite of its striking simplicity, we show that this metric significantly outperforms the more complex methods described in related work.",J. Blumenstock,2008,Conference,"The Web Conference, pp. 1095-1096",6,315,https://www.semanticscholar.org/paper/c6f61f344c919493886bf67d0e64e0242ae83547,10.1145/1367497.1367673,
5,"ACM, Google Scholar, Web of Science",Harnessing the wisdom of crowds in wikipedia: quality through coordination,"Wikipedia's success is often attributed to the large numbers of contributors who improve the accuracy, completeness and clarity of articles while reducing bias. However, because of the coordination needed to write an article collaboratively, adding contributors is costly. We examined how the number of editors in Wikipedia and the coordination methods they use affect article quality. We distinguish between explicit coordination, in which editors plan the article through communication, and implicit coordination, in which a subset of editors structure the work by doing the majority of it. Adding more editors to an article improved article quality only when they used appropriate coordination techniques and was harmful when they did not. Implicit coordination through concentrating the work was more helpful when many editors contributed, but explicit coordination through communication was not. Both types of coordination improved quality more when an article was in a formative stage. These results demonstrate the critical importance of coordination in effectively harnessing the ""wisdom of the crowd"" in online production environments.",A. Kittur; R. Kraut,2008,Conference,Proceedings of the 2008 ACM conference on Computer supported cooperative work,41,749,https://www.semanticscholar.org/paper/5ead79bbdb5d396f3a5900ff1b71ee44e8061dca,10.1145/1460563.1460572,
6,"ACM, Google Scholar, Web of Science",Determinants of wikipedia quality: the roles of global and local contribution inequality,"The success of Wikipedia and the relative high quality of its articles seem to contradict conventional wisdom. Recent studies have begun shedding light on the processes contributing to Wikipedia's success, highlighting the role of coordination and contribution inequality. In this study, we expand on these works in two ways. First, we make a distinction between global (Wikipedia-wide) and local (article-specific) inequality and investigate both constructs. Second, we explore both direct and indirect effects of these inequalities, exposing the intricate relationships between global inequality, local inequality, coordination, and article quality. We tested our hypotheses on a sample of a Wikipedia articles using structural equation modeling and found that global inequality exerts significant positive impact on article quality, while the effect of local inequality is indirect and is mediated by coordination",Ofer Arazy; O. Nov,2010,Conference,"Conference on Computer Supported Cooperative Work, pp. 233-236",22,91,https://www.semanticscholar.org/paper/36dce0334d47e45cd37f9484b464ee3857cbdc37,10.1145/1718918.1718963,
7,"ACM, Google Scholar, Web of Science",Information quality work organization in wikipedia,"The classic problem within the information quality (IQ) research and practice community has been the problem of defining IQ. It has been found repeatedly that IQ is context sensitive and cannot be described, measured, and assured with a single model. There is a need for empirical case studies of IQ work in different systems to develop a systematic knowledge that can then inform and guide the construction of context-specific IQ models. This article analyzes the organization of IQ assurance work in a large-scale, open, collaborative encyclopedia—Wikipedia. What is special about Wikipedia as a resource is that the quality discussions and processes are strongly connected to the data itself and are accessible to the general public. This openness makes it particularly easy for researchers to study a particular kind of collaborative work that is highly distributed and that has a particularly substantial focus, not just on error detection but also on error correction. We believe that the study of those evolving debates and processes and of the IQ assurance model as a whole has useful implications for the improvement of quality in other more conventional databases. © 2008 Wiley Periodicals, Inc.",Besiki Stvilia; M. Twidale; Linda C. Smith; L. Gasser,2008,Journal,"J. Assoc. Inf. Sci. Technol., 59, pp. 983-1001",63,373,https://www.semanticscholar.org/paper/89c5bef3053bf3e4953204c7357ff838523b7488,10.1002/asi.20813,
8,"ACM, Google Scholar",On measuring the quality of Wikipedia articles,"This paper discusses an approach to modeling and measuring information quality of Wikipedia articles. The approach is based on the idea that the quality of Wikipedia articles with distinctly different profiles needs to be measured using different information quality models. We report on our initial study, which involved two categories of Wikipedia articles: ""stabilized"" (those, whose content has not undergone major changes for a significant period of time) and ""controversial"" (the articles, which have undergone vandalism, revert wars, or whose content is subject to internal discussions between Wikipedia editors). We present simple information quality models and compare their performance on a subset of Wikipedia articles with the information quality evaluations provided by human users. Our experiment shows, that using special-purpose models for information quality captures user sentiment about Wikipedia articles better than using a single model for both categories of articles.",Gabriel De la Calzada; Alex Dekhtyar,2010,Conference,"Workshop on Information Credibility on the Web, pp. 11-18",51,65,https://www.semanticscholar.org/paper/68c1ca9cf4ef3bb12e17ea38c6155b3374ccff88,10.1145/1772938.1772943,http://users.csc.calpoly.edu/%7Edekhtyar/publications/WICOW2010.pdf
9,"ACM, Google Scholar",Don't bite the newbies: how reverts affect the quantity and quality of Wikipedia work,"Reverts are important to maintaining the quality of Wikipedia. They fix mistakes, repair vandalism, and help enforce policy. However, reverts can also be damaging, especially to the aspiring editor whose work they destroy. In this research we analyze 400,000 Wikipedia revisions to understand the effect that reverts had on editors. We seek to understand the extent to which they demotivate users, reducing the workforce of contributors, versus the extent to which they help users improve as encyclopedia editors. Overall we find that reverts are powerfully demotivating, but that their net influence is that more quality work is done in Wikipedia as a result of reverts than is lost by chasing editors away. However, we identify key conditions -- most specifically new editors being reverted by much more experienced editors - under which reverts are particularly damaging. We propose that reducing the damage from reverts might be one effective path for Wikipedia to solve the newcomer retention problem.",Aaron L Halfaker; A. Kittur; J. Riedl,2011,Conference,N/A,28,205,https://www.semanticscholar.org/paper/b2149024c793fb323b4fbe940c42ecf566860105,10.1145/2038558.2038585,
10,"ACM, Google Scholar",Assessing the quality of Wikipedia articles with lifecycle based metrics,"The main feature of the free online-encyclopedia Wikipedia is the wiki-tool, which allows viewers to edit the articles directly in the web browser. As a weakness of this openness for example the possibility of manipulation and vandalism cannot be ruled out, so that the quality of any given Wikipedia article is not guaranteed. Hence the automatic quality assessment has been becoming a high active research field. In this paper we offer new metrics for an efficient quality measurement. The metrics are based on the lifecycles of low and high quality articles, which refer to the changes of the persistent and transient contributions throughout the entire life span.",T. Wöhner; Ralf Peters,2009,Journal,N/A,27,126,https://www.semanticscholar.org/paper/777a29dff88b22c0cf2e38683cbaf183447a985b,10.1145/1641309.1641333,
