Author,Affiliation,Country,Papers
Aaron L. Halfaker,,,"19, 76, 22"
Adnan Yahya,,,148
Aili Shen,,,31
Aixin Sun,,,"1, 58"
Alberto Cusinato,,,33
Alessandro Lomi,,,57
Alex Dekhtyar,,,8
Ali Salhi,,,148
Amira Rezgui,,,95
Amitava Dutta,,,54
Anamika Chhabra,,,101
Andrew McCallum,,,15
Angelo Spognardi,,,92
Aniket Kittur,,,19
Animesh Mukherjee,,,"38, 87, 97"
Arash Joorabchi,,,84
Armando Segnine,,,95
Ba-Quy Vuong,,,"1, 58"
Baptiste de La Robertie,,,"32, 172"
Benno Stein,,,"17, 35, 42"
Bernadetta Tarigan,,,181
Bernardo Huberman,,,2
Besiki Stvilia,,,12
Bhanu Prakash Reddy Guda,,,"38, 87, 97"
Calibhe Doherty,,,84
Carla Teixeira Lopes,,,"145, 161"
Carlos G. Velázquez,,,338
Carlos Trabuco,,,95
Carolina Cuello,,,147
Cecilia di Sciascio,,,83
Chenxi Wang,,,69
Chinthani Sugandhika,,,119
Christopher Reichstein,,,71
Chunhong Zhang,,,41
Claudia-Lavinia Ignat,,,"16, 23, 24, 89"
Cristina Lopes,,,11
Dan Cosley,,,13
Daniel Hasan Dalip,,,"14, 111"
Dariusz Jemielniak,,,262
David Strohmaier,,,83
Denis Helic,,,"25, 127"
Dennis Wilkinson,,,2
Diogo Rennó Rocha de Oliveira,,,111
Donato Hernandez Fusilier,,,115
Edgardo Ferretti,,,"100, 115, 132, 147, 160"
Edison Marrese-Taylor,,,85
Eduardo Veas,,,83
Ee-Peng Lim,,,"1, 58"
Elias Bassani,,,"67, 359"
Eva Zangerle,,,78
Fanny Chevalier,,,65
Fatemeh Fahimnia,,,118
Francesco Di Salvatore,,,33
Gabriel De la Calzada,,,8
Gerome Miklau,,,15
Gerónimo Bazán Pereyra,,,147
Gianfranco Capodici,,,147
Grace Gimon Betancourt,,,95
Gregory Druck,,,15
Guido Urquiza,,,"132, 160"
Hady Wirawan Lauw,,,"1, 58"
Heshen Zhou,,,48
Hina Gul,,,114
Hua Zheng,,,61
Huan Liu,,,90
Huijing Deng,,,181
Imran Khan,,,114
Iryna Gurevych,,,"36, 43"
Jayakrishnan Unnikrishnan,,,202
Jean-Daniel Fekete,,,65
Jennifer Dawson,,,84
Jiangnan Li,,,122
Jianzhong Qi,,,31
Jingrui Hou,,,"48, 122"
Jintao Tang,,,20
John Riedl,,,"13, 19"
Jonah Fisher,,,64
Joshua E. Blumenstock,,,4
Juan-Zi Li,,,173
Juliana Sutanto,,,181
Jun Liu,,,"3, 29"
Jussara Marques de Almeida,,,111
Jürgen Lerner,,,57
Kanchana Saengthongpattana,,,"150, 162, 169"
Katarzyna Baraniak,,,72
Ke Yu,,,41
Kewen Wu,,,61
Krzysztof Węcel,,,"18, 46, 66, 71, 106, 139, 149, 34, 96"
Lei Zhang,,,173
Les Gasser,,,12
Leticia C. Cagnina,,,"100, 338"
Lian Pohn,,,132
Linda C. Smith,,,12
Lingyun Ruan,,,197
Lucie Flekova,,,36
Luis Couto,,,"145, 161"
Luo Si,,,197
Maarten de Rijke,,,20
Maciej Wilamowski,,,262
Mahshid Eltemasi ,,,118
Maik Anderka,,,"17, 35, 42"
Mansoureh Damerchiloo,,,118
Manuel Montes y Gómez,,,115
Manuel Schmidt,,,78
Marc Rittberger,,,43
Marcelo Errecalde,,,"83, 100, 115, 132, 147, 160, 338"
Marcelo Yuji Himoro,,,199
Marcin Sydow,,,72
Marco Cristo,,,"14, 125, 199"
Marco Viviani,,,"67, 359"
Marcos André Gonçalves,,,"14, 111"
Maria da Graça Campos Pimentel,,,"125, 199"
Marinella Petrocchi,,,92
Masatoshi Yoshikawa,,,"60, 79, 117"
Matías Soria,,,"132, 160"
Meiqun Hu,,,"1, 58"
Michael Twidale,,,12
Michail Tsikerdekis,,,155
Mihai Grigore,,,181
Mizuho Iwaihara,,,70
Mohammad Khandan,,,118
Morten Warncke-Wang,,,13
Muhammad Jamal,,,114
Muhammad Shahid,,,114
Muyan Li,,,48
Myshkin Ingawale,,,54
Narun K. Raman,,,64
Nataliia Stratiienko,,,139
Nathaniel Sauerberg,,,64
Nedim Lipka,,,"17, 35"
Nicolas Jullien,,,95
Nikola Banovic,,,76
Nina Khairova,,,"139, 96"
Ning Zhang,,,197
Nuanwan Soonthornphisaj,,,"130, 150, 162, 169"
Oded Nov,,,6
Ofer Arazy,,,6
Oliver Ferschke,,,"36, 43"
Olivier Teste,,,"32, 172"
Pablo Loyola,,,85
Paolo Rosso,,,115
Paramita Das,,,97
Paweł Teisseyre,,,72
Peerapoom Paengporn,,,130
Pengyuan Liu,,,128
Pierpaolo Dondio,,,59
Ping Wang,,,"26, 48, 74, 122"
Poonam Saini,,,101
Priya Seetharaman,,,54
Przemyslaw Kazienko,,,157
Pádraig Cunningham,,,131
Pável Calado,,,14
Qi Su,,,128
Qinghua Zhu,,,61
Quang-Vinh Dang,,,"16, 23, 24, 89, 136"
Rafael Guzmán-Cabrera,,,115
Rahul Roy,,,54
Rajmund Kleminski,,,157
Ralf Peters,,,10
Ralf-Christian Härting,,,71
Raquel C. M. Minardi,,,111
Raquel Lara Santos,,,111
Raquel Oliveira Prates,,,111
Raíza Hanada,,,"125, 199"
Renli Wu,,,74
Robert Kraut,,,19
Rodolfo Bonnin,,,147
Rodrigo Zacagnini,,,100
Roman Bartusiak,,,157
S. R. S. Iyengar,,,101
Sabrina Tobar Thommel,,,76
Sai T. Moturu,,,90
Sandipan Sikdar,,,87
Sara Javanmardi,,,11
Sasi Bhusan Seelaboyina,,,"38, 97"
Se Wang,,,70
Sebastián Delle Donne,,,100
Sebastián Pérez Casseignau,,,"132, 160"
Sergio Alejandro Gómez,,,"132, 160"
Shahid Hussain,,,114
Shiyue Zhang,,,41
