Id,Title,Databases,Year,Authors,Publication Type,Published In,Publisher,Address,Refs.,Cits.,Abstract,Keywords,PDF,URL,"Q1 [0, 3]","Q2 [0, 3]","Q3 [0, 3]","Q4 [0, 1]","Total [0, 10]",Backward Tracked,Forward Tracked
1,Measuring article quality in wikipedia: models and evaluation,"ACM, Google Scholar",2007,Meiqun Hu; Ee-Peng Lim; Aixin Sun; Hady Wirawan Lauw; Ba-Quy Vuong,Conference,"CIKM '07: International Conference on Information and Knowledge Management, pp. 243-252",Association for Computing Machinery,"New York City, United States",29,360,"Wikipedia has grown to be the world largest and busiest free encyclopedia, in which articles are collaboratively written and maintained by volunteers online. Despite its success as a means of knowledge sharing and collaboration, the public has never stopped criticizing the quality of Wikipedia articles edited by non-experts and inexperienced contributors. In this paper, we investigate the problem of assessing the quality of articles in collaborative authoring of Wikipedia. We propose three article quality measurement models that make use of the interaction data between articles and their contributors derived from the article edit history. Our Basic model is designed based on the mutual dependency between article quality and their author authority. The PeerReview model introduces the review behavior into measuring article quality. Finally, our ProbReview models extend PeerReview with partial reviewership of contributors as they edit various portions of the articles. We conduct experiments on a set of well-labeled Wikipedia articles to evaluate the effectiveness of our quality measurement models in resembling human judgement.",Wikipedia; article quality; collaborative authoring; authority; peer review,https://dl.acm.org/doi/pdf/10.1145/1321440.1321476,https://dl.acm.org/doi/10.1145/1321440.1321476,2,0,1,0,3,No,No
2,Cooperation and quality in wikipedia,"ACM, Google Scholar",2007,Dennis Wilkinson; Bernardo Huberman,Conference,"WikiSym '07: International Symposium on Wikis, pp. 157-164",Association for Computing Machinery,"New York City, United States",34,390,"The rise of the Internet has enabled collaboration and cooperation on anunprecedentedly large scale. The online encyclopedia Wikipedia, which presently comprises 7.2 million articles created by 7.04 million distinct editors, provides a consummate example. We examined all 50 million edits made tothe 1.5 million English-language Wikipedia articles and found that the high-quality articles are distinguished by a marked increase in number of edits, number of editors, and intensity of cooperative behavior, as compared to other articles of similar visibility and age. This is significant because in other domains, fruitful cooperation has proven to be difficult to sustain as the size of the collaboration increases. Furthermore, in spite of the vagaries of human behavior, we show that Wikipedia articles accrete edits according to a simple stochastic mechanism in which edits beget edits. Topics of high interest or relevance are thus naturally brought to the forefront of quality.",Cooperation; Wikipedia,https://dl.acm.org/doi/pdf/10.1145/1296951.1296968,https://dl.acm.org/doi/10.1145/1296951.1296968,1,0,1,0,2,No,No
3,Who does what: Collaboration patterns in the wikipedia and their impact on article quality,"ACM, Google Scholar",2011,Jun Liu; Sudha Ram,Journal,"ACM Transactions on Management Information Systems, vol. 2(2), no. 11, pp. 1-23",N/A,N/A,52,172,"The quality of Wikipedia articles is debatable. On the one hand, existing research indicates that not only are people willing to contribute articles but the quality of these articles is close to that found in conventional encyclopedias. On the other hand, the public has never stopped criticizing the quality of Wikipedia articles, and critics never have trouble finding low-quality Wikipedia articles. Why do Wikipedia articles vary widely in quality? We investigate the relationship between collaboration and Wikipedia article quality. We show that the quality of Wikipedia articles is not only dependent on the different types of contributors but also on how they collaborate. Based on an empirical study, we classify contributors based on their roles in editing individual Wikipedia articles. We identify various patterns of collaboration based on the provenance or, more specifically, who does what to Wikipedia articles. Our research helps identify collaboration patterns that are preferable or detrimental for article quality, thus providing insights for designing tools and mechanisms to improve the quality of Wikipedia articles.",Wikipedia; collaboration pattern; article quality,https://dl.acm.org/doi/pdf/10.1145/1985347.1985352,https://dl.acm.org/doi/10.1145/1985347.1985352,1,0,1,0,2,No,No
4,Size matters: word count as a measure of quality on wikipedia,"ACM, Google Scholar",2008,Joshua E. Blumenstock,Conference,"WWW '08: The Web Conference, pp. 1095-1096",Association for Computing Machinery,"New York City, United States",6,379,"Wikipedia, ""the free encyclopedia"", now contains over two million English articles, and is widely regarded as a high-quality, authoritative encyclopedia. Some Wikipedia articles, however, are of questionable quality, and it is not always apparent to the visitor which articles are good and which are bad. We propose a simple metric -- word count -- for measuring article quality. In spite of its striking simplicity, we show that this metric significantly outperforms the more complex methods described in related work.",Wikipedia; information quality; word count,https://dl.acm.org/doi/pdf/10.1145/1367497.1367673,https://dl.acm.org/doi/10.1145/1367497.1367673,3,2,2,0,7,Yes,Yes
6,Determinants of wikipedia quality: the roles of global and local contribution inequality,"ACM, Google Scholar, Web of Science",2010,Ofer Arazy; Oded Nov,Conference,"CSCW '10: Conference on Computer Supported Cooperative Work, pp. 233-236",Association for Computing Machinery,"New York City, United States",21,114,"The success of Wikipedia and the relative high quality of its articles seem to contradict conventional wisdom. Recent studies have begun shedding light on the processes contributing to Wikipedia's success, highlighting the role of coordination and contribution inequality. In this study, we expand on these works in two ways. First, we make a distinction between global (Wikipedia-wide) and local (article-specific) inequality and investigate both constructs. Second, we explore both direct and indirect effects of these inequalities, exposing the intricate relationships between global inequality, local inequality, coordination, and article quality. We tested our hypotheses on a sample of a Wikipedia articles using structural equation modeling and found that global inequality exerts significant positive impact on article quality, while the effect of local inequality is indirect and is mediated by coordination",Wikipedia; quality; contributing inequality; coordination,https://dl.acm.org/doi/pdf/10.1145/1718918.1718963,https://dl.acm.org/doi/10.1145/1718918.1718963,1,0,1,0,2,No,No
8,On measuring the quality of Wikipedia articles,"ACM, Google Scholar",2010,Gabriel De la Calzada; Alex Dekhtyar,Conference,"WICOU '10: Workshop on Information Credibility on the Web, pp. 11-18",Association for Computing Machinery,"New York City, United States",33,80,"This paper discusses an approach to modeling and measuring information quality of Wikipedia articles. The approach is based on the idea that the quality of Wikipedia articles with distinctly different profiles needs to be measured using different information quality models. We report on our initial study, which involved two categories of Wikipedia articles: ""stabilized"" (those, whose content has not undergone major changes for a significant period of time) and ""controversial"" (the articles, which have undergone vandalism, revert wars, or whose content is subject to internal discussions between Wikipedia editors). We present simple information quality models and compare their performance on a subset of Wikipedia articles with the information quality evaluations provided by human users. Our experiment shows, that using special-purpose models for information quality captures user sentiment about Wikipedia articles better than using a single model for both categories of articles.",Wikipedia; quality; models,https://dl.acm.org/doi/pdf/10.1145/1772938.1772943,https://dl.acm.org/doi/10.1145/1772938.1772943,2,0,1,0,3,No,No
10,Assessing the quality of Wikipedia articles with lifecycle based metrics,"ACM, Google Scholar",2009,Thomas Wöhner; Ralf Peters,Conference,"WikiSym '09: International Symposium on Wikis and Open Collaboration, no. 16, pp. 1-10",Association for Computing Machinery,"New York City, United States",25,140,"The main feature of the free online-encyclopedia Wikipedia is the wiki-tool, which allows viewers to edit the articles directly in the web browser. As a weakness of this openness for example the possibility of manipulation and vandalism cannot be ruled out, so that the quality of any given Wikipedia article is not guaranteed. Hence the automatic quality assessment has been becoming a high active research field. In this paper we offer new metrics for an efficient quality measurement. The metrics are based on the lifecycles of low and high quality articles, which refer to the changes of the persistent and transient contributions throughout the entire life span.",Wikipedia; quality assessment; Wikipedia lifecycle; transient contribution; persistent contribution,https://dl.acm.org/doi/pdf/10.1145/1641309.1641333,https://dl.acm.org/doi/10.1145/1641309.1641333,2,0,1,1,4,Yes,Yes
11,Statistical measure of quality in Wikipedia,"ACM, Google Scholar",2010,Sara Javanmardi; Cristina Lopes,Conference,"SOMA '10: Workshop on Social Media Analytics, pp. 132-138",Association for Computing Machinery,"New York City, United States",26,58,"Wikipedia is commonly viewed as the main online encyclopedia. Its content quality, however, has often been questioned due to the open nature of its editing model. A high--quality contribution by an expert may be followed by a low-quality contribution made by an amateur or a vandal; therefore the quality of each article may fluctuate over time as it goes through iterations of edits by different users. With the increasing use of Wikipedia, the need for a reliable assessment of the quality of the content is also rising. In this study, we model the evolution of content quality in Wikipedia articles in order to estimate the fraction of time during which articles retain high-quality status. To evaluate the model, we assess the quality of Wikipedia's featured and non-featured articles. We show how the model reproduces consistent results with what is expected. As a case study, we use the model in a CalSWIM mashup the content of which is taken from both highly reliable sources and Wikipedia, which may be less so. Integrating CalSWIM with a trust management system enables it to use not only recency but also quality as its criteria, and thus filter out vandalized or poor-quality content.",Wikipedia; Wiki; Crowdsourcing; Web 2.0,https://dl.acm.org/doi/pdf/10.1145/1964858.1964876,https://dl.acm.org/doi/10.1145/1964858.1964876,2,0,1,0,3,No,No
12,Information quality discussions in wikipedia,Google Scholar,2005,Besiki Stvilia; Michael B. Twidale; Les Gasser; Linda C. Smith,Conference,"ICKM '05: International Conference on Knowledge Management, pp. ?-?",Universiti Putra Malaysia,"Seri Kembangan, Malaysia",37,168,"We examine the Information Quality aspects of Wikipedia. By a study of the discussion pages and other process-oriented pages within the Wikipedia project, it is possible to determine the information quality dimensions that participants in the editing process care about, how they talk about them, what tradeoffs they make between these dimensions and how the quality assessment and improvement process operates. This analysis helps in understanding how high quality is maintained in a project where anyone may participate with no prior vetting. It also carries implications for improving the quality of more conventional datasets.",N/A,https://myweb.fsu.edu/bstvilia/papers/qualWiki.pdf,https://www.researchgate.net/publication/200773232_Information_Quality_Discussions_in_Wikipedia,2,0,1,0,3,No,No
13,Tell me more: an actionable quality model for Wikipedia,"ACM, Google Scholar",2013,Morten Warncke-Wang; Dan Cosley; John Riedl,Conference,"WikiSym '13: International Symposium on Open Collaboration, no. 8, pp. 1-10",Association for Computing Machinery,"New York City, United States",40,126,"In this paper we address the problem of developing actionable quality models for Wikipedia, models whose features directly suggest strategies for improving the quality of a given article. We first survey the literature in order to understand the notion of article quality in the context of Wikipedia and existing approaches to automatically assess article quality. We then develop classification models with varying combinations of more or less actionable features, and find that a model that only contains clearly actionable features delivers solid performance. Lastly we discuss the implications of these results in terms of how they can help improve the quality of articles across Wikipedia.",Wikipedia; Information Quality; Modelling; Classification; Flaw Detection; Machine Learning,https://dl.acm.org/doi/pdf/10.1145/2491055.2491063,https://dl.acm.org/doi/10.1145/2491055.2491063,3,2,1,0,6,Yes,Yes
